2011-04-10	00:00	1.63749	1.63926	1.6368	1.63917	4802
2011-04-11	00:00	1.63906	1.64261	1.63131	1.63375	119111
2011-04-12	00:00	1.63375	1.6343	1.62268	1.62598	186997
2011-04-13	00:00	1.62599	1.63093	1.62368	1.62764	155338
2011-04-14	00:00	1.6276	1.63848	1.62537	1.63685	173353
2011-04-15	00:00	1.6368	1.6372	1.62915	1.63233	128689
2011-04-17	00:00	1.63005	1.63252	1.62984	1.63143	9574
2011-04-18	00:00	1.6314	1.63285	1.61646	1.62651	173262
2011-04-19	00:00	1.62643	1.63392	1.62299	1.63312	150947
2011-04-20	00:00	1.633	1.64254	1.63077	1.63909	148398
2011-04-21	00:00	1.63903	1.65992	1.63874	1.65182	169077
2011-04-22	00:00	1.6515	1.65687	1.65016	1.65016	25539
2011-04-24	00:00	1.65169	1.65525	1.65131	1.6547	4808
2011-04-25	00:00	1.6546	1.65476	1.6467	1.64907	94097
2011-04-26	00:00	1.64905	1.65322	1.6431	1.65084	172712
2011-04-27	00:00	1.65074	1.66701	1.64346	1.66463	193328
2011-04-28	00:00	1.66463	1.67458	1.66226	1.66451	178246
2011-04-29	00:00	1.66452	1.67217	1.66233	1.67002	132034
2011-05-01	00:00	1.67099	1.67279	1.6669	1.66942	13027
2011-05-02	00:00	1.66948	1.67381	1.66354	1.66429	155182
2011-05-03	00:00	1.66413	1.6647	1.64559	1.64878	187609
2011-05-04	00:00	1.64877	1.65741	1.6452	1.64866	185921
2011-05-05	00:00	1.6486	1.65437	1.64398	1.64783	62012
2011-05-06	00:00	1.63998	1.64334	1.63546	1.63822	91302
2011-05-08	00:00	1.63609	1.63869	1.63413	1.63713	10994
2011-05-09	00:00	1.63705	1.64212	1.62697	1.64052	176665
2011-05-10	00:00	1.6405	1.64513	1.63159	1.63602	189313
2011-05-11	00:00	1.63598	1.65173	1.63212	1.63662	224694
2011-05-12	00:00	1.63656	1.63795	1.62338	1.62711	223081
2011-05-13	00:00	1.62703	1.63088	1.61459	1.61938	186099
2011-05-15	00:00	1.61914	1.61939	1.6165	1.61709	6910
2011-05-17	00:00	1.61959	1.63034	1.61742	1.62495	228702
2011-05-18	00:00	1.6249	1.62881	1.6105	1.61561	196941
2011-05-19	00:00	1.61561	1.62429	1.61304	1.62276	174289
2011-05-20	00:00	1.62269	1.63046	1.61663	1.62276	165260
2011-05-22	00:00	1.62239	1.62295	1.62091	1.62271	7626
2011-05-23	00:00	1.6227	1.62331	1.6056	1.60718	197208
2011-05-24	00:00	1.6071	1.62091	1.60679	1.61784	195367
2011-05-25	00:00	1.61782	1.62948	1.61309	1.62811	196779
2011-05-26	00:00	1.62798	1.64044	1.62739	1.6392	175869
2011-05-27	00:00	1.63912	1.65121	1.63822	1.65089	186870
2011-05-29	00:00	1.64797	1.65121	1.64742	1.64847	6945
2011-05-30	00:00	1.6483	1.65081	1.64498	1.64988	67735
2011-05-31	00:00	1.6498	1.65468	1.64232	1.64655	174989
2011-06-01	00:00	1.64649	1.64954	1.63155	1.6337	183748
2011-06-02	00:00	1.63369	1.64178	1.63049	1.6372	176032
2011-06-03	00:00	1.63701	1.64379	1.62843	1.64229	165969
2011-06-05	00:00	1.64098	1.64559	1.64098	1.6452	6405
2011-06-06	00:00	1.6452	1.64601	1.63398	1.6353	143228
2011-06-07	00:00	1.63528	1.6472	1.63238	1.6439	150435
2011-06-08	00:00	1.64392	1.64462	1.63477	1.64028	158812
2011-06-09	00:00	1.64027	1.64657	1.63577	1.63748	163103
2011-06-10	00:00	1.63746	1.63833	1.62034	1.62272	178697
